match_link,date,time,stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1034226,"sáb, 22/01/11",13:00,Gaughan Group Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1034278,"sáb, 12/02/11",13:00,Gaughan Group Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1034303,"sáb, 26/02/11",12:00,John Smith's Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1034327,"ter, 08/03/11",16:45,Banks's Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1146227,"qui, 15/12/11",16:00,Tallaght Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1178132,"ter, 17/01/12",17:45,The Den
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132134,"sáb, 25/02/12",13:00,Turf Moor
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132160,"ter, 06/03/12",16:45,Weston Homes Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132194,"ter, 20/03/12",16:45,Keepmoat Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132229,"sáb, 07/04/12",11:00,The Den
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132242,"ter, 10/04/12",15:45,Fratton Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132254,"sáb, 14/04/12",11:00,The Den
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1132284,"sáb, 28/04/12",08:30,The Den
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2266612,"seg, 17/12/12",11:00,Colney Training Centre
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2288817,"seg, 04/02/13",10:00,Hotspur Way
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226158,"ter, 26/02/13",16:45,King Power Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2226286,"sex, 26/04/13",15:45,King Power Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2348217,"sex, 09/08/13",15:50,Electrical Services Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2348238,"seg, 19/08/13",08:00,Hotspur Way
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2350304,"seg, 16/09/13",15:00,Pirelli Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2370514,"qua, 30/10/13",17:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2350611,"ter, 14/01/14",10:00,Hotspur Way
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2350676,"seg, 10/03/14",09:00,Hotspur Way
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332282,"seg, 07/04/14",16:00,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332287,"sáb, 12/04/14",11:05,The Hawthorns
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332301,"sáb, 19/04/14",08:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2483434,"qui, 21/08/14",13:00,Antonis Papadopoulos
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2483464,"qui, 28/08/14",15:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2490253,"qua, 24/09/14",15:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2492386,"qui, 02/10/14",16:05,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2492389,"qui, 23/10/14",17:05,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2500663,"qua, 29/10/14",17:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486567,"dom, 02/11/14",14:00,Villa Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2492390,"qui, 06/11/14",16:00,Gipedo Theodoros Kolokotronis
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486587,"dom, 23/11/14",14:00,MKM Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486627,"dom, 14/12/14",14:00,Swansea.com Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2508621,"qua, 17/12/14",17:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486637,"sáb, 20/12/14",13:00,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486644,"sex, 26/12/14",13:00,King Power Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486667,"qui, 01/01/15",15:30,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486672,"sáb, 10/01/15",15:30,Selhurst Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486698,"sáb, 31/01/15",13:00,The Hawthorns
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486707,"sáb, 07/02/15",10:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486714,"ter, 10/02/15",18:00,Anfield
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486728,"dom, 22/02/15",09:00,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486735,"sáb, 07/03/15",12:00,Loftus Road Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486767,"sáb, 21/03/15",12:00,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486797,"dom, 19/04/15",12:00,St James' Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486843,"dom, 24/05/15",11:00,Goodison Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2577969,"sáb, 26/09/15",08:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2577996,"dom, 25/10/15",12:05,Vitality Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578011,"seg, 02/11/15",18:00,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2618968,"qui, 05/11/15",18:05,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578018,"dom, 08/11/15",14:00,Emirates Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578045,"dom, 22/11/15",14:00,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2618978,"qui, 26/11/15",16:00,Tofiq Bahramov Republican Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578082,"sáb, 19/12/15",13:00,St Mary's Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578087,"sáb, 26/12/15",13:00,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2646150,"dom, 10/01/16",14:00,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578109,"sáb, 16/01/16",10:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578114,"sáb, 23/01/16",13:00,Selhurst Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578120,"ter, 02/02/16",17:45,Carrow Road
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578147,"dom, 14/02/16",14:15,Etihad Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578174,"sáb, 05/03/16",09:45,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578187,"dom, 13/03/16",13:00,Villa Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578184,"dom, 20/03/16",13:00,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578199,"sáb, 02/04/16",13:30,Anfield
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578258,"seg, 18/04/16",16:00,bet365 Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2578262,"seg, 02/05/16",16:00,Stamford Bridge
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698087,"sáb, 10/09/16",11:00,bet365 Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698100,"dom, 18/09/16",12:30,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698164,"dom, 06/11/16",10:00,Emirates Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698162,"sáb, 19/11/16",15:30,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2755713,"ter, 22/11/16",17:45,Stade Louis-II
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698212,"sáb, 03/12/16",13:00,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2755742,"qua, 07/12/16",17:45,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698240,"qua, 28/12/16",17:45,St Mary's Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698210,"dom, 01/01/17",11:30,Vicarage Road
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698258,"sáb, 14/01/17",10:30,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698273,"sáb, 04/02/17",15:30,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2819145,"dom, 19/02/17",11:00,Craven Cottage
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698266,"dom, 26/02/17",10:30,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698334,"dom, 05/03/17",10:30,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698342,"sáb, 15/04/17",08:30,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2839903,"sáb, 22/04/17",13:15,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698379,"dom, 30/04/17",12:30,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698364,"dom, 14/05/17",12:30,White Hart Lane
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698396,"qui, 18/05/17",15:45,King Power Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698391,"dom, 21/05/17",11:00,MKM Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872148,"sáb, 09/09/17",11:00,Goodison Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2917372,"qua, 13/09/17",15:45,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872174,"sáb, 23/09/17",08:30,London Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2917380,"ter, 26/09/17",15:45,GSP Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872179,"sáb, 30/09/17",08:30,John Smith's Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872203,"dom, 22/10/17",13:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2917436,"ter, 21/11/17",17:45,SIGNAL IDUNA PARK
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872243,"sáb, 25/11/17",13:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872248,"ter, 28/11/17",17:45,King Power Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872273,"sáb, 09/12/17",13:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872297,"sáb, 23/12/17",15:30,Turf Moor
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872312,"ter, 26/12/17",10:30,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2984212,"dom, 07/01/18",13:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872342,"sáb, 13/01/18",15:30,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872351,"dom, 21/01/18",14:00,St Mary's Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2988371,"sáb, 27/01/18",15:30,Rodney Parade
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872371,"dom, 04/02/18",14:30,Anfield
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872383,"sáb, 10/02/18",10:30,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2981993,"ter, 13/02/18",17:45,Allianz Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3000030,"dom, 18/02/18",13:00,Crown Oil Arena
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872389,"dom, 25/02/18",09:00,Selhurst Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872442,"sáb, 07/04/18",11:00,bet365 Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872457,"ter, 17/04/18",15:45,AMEX Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872473,"seg, 30/04/18",16:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872423,"qua, 09/05/18",16:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872493,"dom, 13/05/18",11:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050185,"sáb, 18/08/18",11:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050192,"seg, 27/08/18",16:00,Old Trafford
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050218,"sáb, 22/09/18",13:30,AMEX Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050232,"sáb, 29/09/18",11:00,John Smith's Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3097981,"qua, 03/10/18",16:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3097997,"qua, 24/10/18",13:55,Philips Stadion
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050276,"sáb, 03/11/18",16:45,Molineux Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3098013,"ter, 06/11/18",18:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050293,"sáb, 24/11/18",15:30,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050297,"dom, 02/12/18",12:05,Emirates Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050316,"qua, 05/12/18",18:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050341,"dom, 23/12/18",14:00,Goodison Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050425,"qua, 26/12/18",13:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050355,"sáb, 29/12/18",13:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050359,"ter, 01/01/19",15:30,Cardiff City Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3136596,"sex, 04/01/19",17:45,Prenton Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3136576,"ter, 08/01/19",18:00,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050429,"sáb, 23/02/19",09:30,Turf Moor
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050453,"sáb, 02/03/19",09:30,Wembley Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3135809,"ter, 05/03/19",17:00,SIGNAL IDUNA PARK
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3050466,"sáb, 09/03/19",12:00,St Mary's Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194823,"sáb, 10/08/19",13:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219081,"dom, 01/09/19",12:30,Emirates Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3252148,"qua, 18/09/19",13:55,Stadio Georgios Karaiskakis
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219075,"sáb, 21/09/19",08:30,King Power Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219404,"sáb, 28/09/19",11:00,Tottenham Hotspur Stadium
